source	target
1984	Fahrenheit 451		
1984	Brave New(-)World		
1984	Catch-22		
1984	The Catcher in(-)the Rye		
1984	Slaughterhouse-Five: A(-)Novel		
1984	Nineteen Eighty-Four		
1984	Huxley's Brave New(-)World 		
1984	Golding's the Lord of(-)the Flies 		
Fahrenheit 451	Animal Farm		
Fahrenheit 451	Slaughterhouse-Five: A(-)Novel		
Fahrenheit 451	The Catcher in(-)the Rye		
Fahrenheit 451	Catch-22		
Fahrenheit 451	Brave New(-)World		
Brave New(-)World	Animal Farm		
Brave New(-)World	Catch-22		
Brave New(-)World	Slaughterhouse-Five: A(-)Novel		
Brave New(-)World	A Clockwork(-)Orange		
Catch-22	Slaughterhouse-Five: A(-)Novel		
Catch-22	The Catcher in(-)the Rye		
Catch-22	A Clockwork(-)Orange		
The Catcher in(-)the Rye	The Great(-)Gatsby		
The Catcher in(-)the Rye	Of Mice and(-)Men 		
The Catcher in(-)the Rye	Lord of the(-)Flies 		
The Catcher in(-)the Rye	Golding's the Lord of(-)the Flies 		
